timestamp_utc,latency_sec
2026-08-11T02:38:05.146024+00:00,0.00017571449279785156
2026-08-11T02:38:06.392541+00:00,1.246516227722168
2026-08-11T02:38:09.490418+00:00,3.097877025604248
2026-08-11T02:38:11.582919+00:00,2.0925004482269287
2026-08-11T02:38:12.389755+00:00,0.8068366050720215
2026-08-11T02:38:14.888863+00:00,2.499107599258423
2026-08-11T02:38:17.384764+00:00,2.4959020614624023
2026-08-11T02:38:18.378235+00:00,0.9934711456298828
2026-08-11T02:38:19.880190+00:00,1.5019547939300537
2026-08-11T02:38:20.489801+00:00,0.609609842300415
2026-08-11T02:38:22.399826+00:00,1.9100253582000732
2026-08-11T02:38:24.389299+00:00,1.9894731044769287
2026-08-11T02:38:26.790286+00:00,2.400986671447754
2026-08-11T02:38:28.384158+00:00,1.5938725471496582
2026-08-11T02:38:29.477675+00:00,1.093517780303955
2026-08-11T02:38:29.483136+00:00,0.005465030670166016
2026-08-11T02:38:31.008299+00:00,1.525158405303955
2026-08-11T02:38:32.386416+00:00,1.3781168460845947
2026-08-11T02:38:34.580043+00:00,2.193627119064331
2026-08-11T02:38:36.384425+00:00,1.80438232421875
